CMDLINE 21880
MEM 604.242188 1691410073.4553
MEM 604.242188 1691410073.5632
MEM 604.242188 1691410073.6720
MEM 604.242188 1691410073.7781
MEM 604.242188 1691410073.8882
MEM 604.242188 1691410073.9968
MEM 604.242188 1691410074.1050
MEM 604.242188 1691410074.2132
MEM 604.242188 1691410074.3227
MEM 604.242188 1691410074.4324
MEM 604.242188 1691410074.5418
MEM 604.242188 1691410074.6510
MEM 604.242188 1691410074.7598
MEM 604.242188 1691410074.8680
MEM 604.242188 1691410074.9760
MEM 604.242188 1691410075.0858
MEM 604.242188 1691410075.1946
MEM 604.242188 1691410075.3037
MEM 604.242188 1691410075.4128
MEM 604.242188 1691410075.5213
MEM 604.242188 1691410075.6299
MEM 604.242188 1691410075.7398
MEM 604.242188 1691410075.8491
MEM 604.242188 1691410075.9585
MEM 604.242188 1691410076.0662
MEM 604.242188 1691410076.1760
MEM 604.242188 1691410076.2843
MEM 604.242188 1691410076.3931
MEM 604.242188 1691410076.5001
MEM 604.242188 1691410076.6099
MEM 604.242188 1691410076.7176
MEM 604.242188 1691410076.8256
MEM 604.242188 1691410076.9347
MEM 604.242188 1691410077.0428
MEM 604.242188 1691410077.1509
MEM 604.242188 1691410077.2585
MEM 604.242188 1691410077.3677
MEM 604.242188 1691410077.4762
MEM 604.242188 1691410077.5851
MEM 604.242188 1691410077.6931
MEM 604.242188 1691410077.8028
MEM 604.242188 1691410077.9110
MEM 604.242188 1691410078.0200
MEM 604.242188 1691410078.1312
MEM 604.242188 1691410078.2400
MEM 604.242188 1691410078.3490
MEM 604.242188 1691410078.4587
MEM 604.242188 1691410078.5686
MEM 604.242188 1691410078.6778
MEM 604.242188 1691410078.7882
MEM 604.242188 1691410078.8962
MEM 604.242188 1691410079.0038
MEM 604.242188 1691410079.1120
MEM 604.242188 1691410079.2201
MEM 604.242188 1691410079.3288
MEM 604.242188 1691410079.4371
MEM 604.242188 1691410079.5457
MEM 604.242188 1691410079.6546
MEM 604.242188 1691410079.7644
MEM 604.242188 1691410079.8740
MEM 604.242188 1691410079.9851
MEM 604.242188 1691410080.0921
MEM 604.242188 1691410080.2001
MEM 604.242188 1691410080.3082
MEM 604.242188 1691410080.4157
MEM 604.242188 1691410080.5252
MEM 604.242188 1691410080.6334
MEM 604.242188 1691410080.7425
MEM 604.242188 1691410080.8500
MEM 604.242188 1691410080.9596
MEM 604.242188 1691410081.0662
MEM 604.226562 1691410081.1737
MEM 604.226562 1691410081.2824
MEM 604.226562 1691410081.3915
MEM 604.226562 1691410081.4990
MEM 604.226562 1691410081.6081
MEM 604.226562 1691410081.7158
MEM 604.226562 1691410081.8251
MEM 604.226562 1691410081.9337
MEM 604.226562 1691410082.0444
MEM 604.226562 1691410082.1533
MEM 604.226562 1691410082.2624
MEM 604.226562 1691410082.3692
MEM 604.226562 1691410082.4780
MEM 604.226562 1691410082.5884
MEM 604.226562 1691410082.6964
MEM 604.226562 1691410082.8076
MEM 604.226562 1691410082.9162
MEM 604.226562 1691410083.0237
MEM 604.226562 1691410083.1332
MEM 604.226562 1691410083.2431
MEM 604.226562 1691410083.3513
MEM 604.226562 1691410083.4596
MEM 604.226562 1691410083.5675
MEM 604.226562 1691410083.6763
MEM 604.226562 1691410083.7856
MEM 604.226562 1691410083.8959
MEM 604.226562 1691410084.0049
MEM 604.226562 1691410084.1136
MEM 604.226562 1691410084.2225
MEM 604.226562 1691410084.3303
MEM 604.226562 1691410084.4384
MEM 604.226562 1691410084.5470
MEM 604.226562 1691410084.6558
MEM 604.226562 1691410084.7658
MEM 604.226562 1691410084.8757
MEM 604.226562 1691410084.9840
MEM 604.226562 1691410085.0928
MEM 604.226562 1691410085.2003
MEM 604.226562 1691410085.3091
MEM 604.226562 1691410085.4178
MEM 604.226562 1691410085.5265
MEM 604.226562 1691410085.6356
MEM 604.226562 1691410085.7449
MEM 604.226562 1691410085.8527
MEM 604.226562 1691410085.9612
MEM 604.226562 1691410086.0689
MEM 604.226562 1691410086.1769
MEM 604.226562 1691410086.2846
MEM 604.226562 1691410086.3929
MEM 604.226562 1691410086.5012
MEM 604.226562 1691410086.6094
MEM 604.226562 1691410086.7158
MEM 604.226562 1691410086.8249
MEM 604.226562 1691410086.9327
MEM 604.226562 1691410087.0388
MEM 604.226562 1691410087.1480
MEM 604.226562 1691410087.2559
MEM 604.226562 1691410087.3650
MEM 604.226562 1691410087.4741
MEM 604.226562 1691410087.5809
MEM 604.226562 1691410087.6894
MEM 604.226562 1691410087.7956
MEM 604.226562 1691410087.9045
MEM 604.226562 1691410088.0136
MEM 604.226562 1691410088.1210
MEM 604.226562 1691410088.2299
